fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology
"61",2022/03/06 02:37:00,2022/03/06 02:38:00,25,0.11,0,0,,A NWS Storm Survey found that a brief weak tornado damaged a shed and some trees. The peak estimated wind speed is 65 MPH.,0,65,NWS Storm Survey,IA,,,620999,"1031795",Tornado,QLCS
"62",2022/03/06 02:37:00,2022/03/06 02:41:00,300,4.09,0,0,,"An EF-1 tornado produced intermittent damage along a roughly 4 mile path. The peak estimated winds were 90 to 95 MPH with a maximum width of 300 yards. The most significant damage was noted at a farmstead on 160th Street, east of 100th Avenue, where several outbuildings were damage or destroyed, and trees were damaged or snapped. Boards were also impaled into the roof and walls of a barn. Additional damage was noted at a farmstead on Utah Avenue north of Duck Creek. Several outbuildings were damaged with some losing roof panels and damaging other structures. Tree damage was noted with several trees uprooted or snapped. A wood plank was driven into the ground. Primarily intermittent tree damage was noted along the remainder of the track, with large branches down or trees snapped.",1,100,NWS Storm Survey,IA,,,621000,"1016859",Tornado,QLCS
"63",2022/03/06 03:13:00,2022/03/06 03:18:00,50,3.98,0,0,,An EF1 tornado tracked across rural Whiteside County. Max wind speeds were estimated at 90-95 MPH. Damage to trees and farm sheds were found along the 4 mile long path. The tornado was 50 yards at it widest.,1,95,NWS Storm Survey,IL,,,621001,"1016860",Tornado,QLCS
"64",2022/03/06 03:48:00,2022/03/06 03:57:00,50,5.98,0,0,50000,"The tornado path started to the southeast of the town of Dunkirk in Dane County. This tornado went through a farm and destroyed a tobacco barn, part of a silo and peeled back sheet metal on a few buildings on the grounds. This sheet metal was noted to have been lofted to locations nearly a mile away. A few other structures had structural damage to them along the path.",1,95,NWS Storm Survey,WI,,,621002,"1001872",Tornado,QLCS
"65",2022/03/06 04:11:00,2022/03/06 04:19:00,50,6.93,0,0,,"A tornado touched down 4.4 miles northeast of Kilbourne at 10:11pm CST. It tracked northeastward, knocking over 6 irrigation systems and damaging several trees before dissipating 1 mile east of Easton at 10:19pm CST.",0,75,NWS Storm Survey,IL,,,621003,"1015350",Tornado,Supercell
"66",2022/03/06 04:57:00,2022/03/06 05:00:00,40,3.89,0,0,50000,"A brief tornado touched down on the evening of March 5th, 2022 just south of Farmersville, IL. The tornado first touched down near East 2nd Road, where it did damage to a one story residence. At this location, the tornado ripped the roof off the garage of a home and the awning off the front porch. The tornado continued northeast, doing some minor damage to a farm building just west of Interstate 55. As it crossed Interstate 55, it blew over a semi truck on the highway. The tornado continued east of Interstate 55, doing substantial damage to some large farm buildings along Morrisonville Avenue and East 4th Road. From there, the tornado began to weaken as it struck a newly constructed hog farm along East 5th Road, before quickly lifting near Macoupin Creek. Overall, the tornado was rated EF-1 with a path length of 3.89 miles and a max path width of 40 yards. No deaths or injuries were reported.",1,100,NWS Employee,IL,,,621004,"1014512",Tornado,QLCS
"67",2022/03/06 07:05:00,2022/03/06 07:06:00,25,0.41,0,0,15000,"A tornado briefly touched down south of the intersection of W CR 400 N and N CR 925 W causing damage to some trees as well as a house chimney. The tornado moved quickly northeast and ripped off a enclosed porch from a residence at the intersection of W CR 400 N and N CR 900 W, throwing it around 175 feet over the house. Some trees were damaged on the property with a hanging shed door being blown off (east facing) due to intrusion of wind on the south side from a broken window and open door. Vehicles in the shed were not damaged. An empty silo to the north of the house was thrown along the road with debris into the adjacent field (this was straight line wind related). The debris ended out in the open field on the NE side of the intersection noted above. A pine tree on the SE side of the intersection was also snapped and thrown into this same field from the SW.",0,70,NWS Storm Survey,IN,,,621005,"1015598",Tornado,Supercell
"68",2022/03/06 09:21:00,2022/03/06 09:24:00,100,2.87,0,0,150000,"The first signs of damage with the tornado occurred near the intersection of OH-185 and Conover Road, where minor damage to a few trees and homes occurred. The tornado moved east-northeast and caused more significant damage to a few properties on Versailles Yorkshire Road, just south of Burns Road. At one property, two large barns were leveled and roof damage was observed to other structures. A home on the southeast corner of the Versailles Yorkshire Road and Burns Road intersection had a small amount of roofing material removed, along with more extensive shingle damage and a few trees uprooted. A car at this property was moved from its parked position and a piece of plywood was embedded under the hood.
Continuing to the east-northeast, two properties on the north side of Burns Road sustained damage, along with numerous trees that were downed in a small stand of hardwoods. There was quite a bit of roof damage to outbuildings at these properties along with some minor damage to more well-built structures. One home had a notable amount of mud splatter on a south-facing garage door. Eyewitness reports and photography indicated that debris from these locations traveled over a quarter mile across the open fields.
Damage was also observed at a cluster of homes on Reed Road, just north of Burns Road. Most of the structural damage here was minor, primarily limited to fascia and siding. At least 20 to 30 trees in this area sustained damage with some of them uprooted and numerous others with large limbs snapped off. Debris from this cluster of properties was observed along a treeline across Reed Road to the east.
Additional minor tree damage occurred on Cramer Road. The last visible damage from this tornado occurred in a treeline south of Murphy Road along Swamp Creek, where a few large limbs were downed.",0,80,NWS Storm Survey,OH,,,621006,"1001372",Tornado,Supercell
"69",2022/03/06 09:23:00,2022/03/06 09:25:00,100,2.52,0,0,100000,"Although there were some very minor signs of damage on Studer Road, the first notable damage associated with this tornado occurred at a property on the east side of Marshall Road, where one tree was damaged and part of a barn roof was removed. On the west side of Darke Shelby Road, a house had a loss of some shingles and gutters, with at least a dozen trees damaged or uprooted. On the east side of this road, another home had some minor roof damage and a few trees were downed. A barn just north of this home was leveled, with sheet metal from the barn thrown downstream over a tenth of a mile.
At a property on the west side of Simon Road, several structures were damaged and parts of two barn roofs were removed. Another barn was partially collapsed. On Miller Road, one house had a large number of shingles removed. Across Miller Road to the east, a large concrete silo was downed into a barn. Some tree damage was noted in a stand of trees east of Miller Road and south of Redmond Road.
The last visible damage occurred at a property north of Redmond Road, just west of Walzer Road. A barn at this property had a portion of the roof removed from the north facing section of the roof. At least two windows were blown out from the west side of another building at this property. No additional damage was observed east of Walzer Road.",0,75,NWS Storm Survey,OH,,,621007,"1001525",Tornado,Supercell
"70",2022/03/06 21:54:00,2022/03/06 21:59:00,50,2.46,0,0,0,An intermittent tornado tracked through open fields.,0,65,Storm Chaser,AR,,,621008,"1012652",Tornado,Supercell
"71",2022/03/06 23:18:00,2022/03/06 23:39:00,600,15.6,0,0,50000,"This tornado started in west central Pope county, just northeast of Augsburg and tracked northeast for approximately 16 miles, before dissipating in central Pope county. Mostly tree damage was noted. There was some structural damage, with the worst damage to a home 1.1 miles west-northwest of Pleasant Valley with extensive roof damage. The sliding doors, three of them, on a volunteer fire department were also blown in about 0.8 mile north of Pleasant Valley along Highway 7.",1,110,NWS Storm Survey,AR,,,621009,"1012842",Tornado,Supercell
"72",2022/03/06 23:28:00,2022/03/06 23:38:00,50,6.39,0,0,0,An intermittent tornado tracked through open fields.,0,65,Storm Chaser,AR,,,621010,"1012653",Tornado,Supercell
"73",2022/03/06 23:35:00,2022/03/06 23:36:00,50,0.1,0,0,0,Video was relayed to the National Weather Service of an apparent tornado over an open field east of Neelyville. There was no known damage. The tornado was associated with a relatively weak shower or thunderstorm that did not exhibit severe characteristics.,0,65,Emergency Manager,MO,,,621011,"1007079",Tornado,Supercell
"74",2022/03/07 00:26:00,2022/03/07 00:29:00,200,2.4,0,0,40000,"This tornado started in the southeast corner of Searcy county. The tornado uprooted several trees along its path, along with ripping roof panels off of a barn, and damaging others. It tracked northeast for 0.8 miles in Searcy county. This tornado started in the southeast corner of Searcy county. The tornado uprooted several trees along its path, along with ripping roof panels off of a barn, and damaging others. It tracked northeast for 2.4 miles.",1,90,NWS Storm Survey,AR,,,621012,"1012854, 1012855",Tornado,Supercell
"75",2022/03/07 01:17:00,2022/03/07 01:31:00,800,11.0694,0,5,405000,"This tornado started in central Izard county, just southeast of Melbourne, and tracked northeast 9.86 miles in Izard county. The tornado continued into into western Sharp county and dissipating northwest of Evening Shade. There was mostly tree damage. Several homes in and around Sage had roof damage, with a few barns and sheds heavily damaged. The worst damage was 0.5 mile east of Sage, with numerous trees snapped and a horse barn destroyed. Farther northeast, a mobile home was rolled, and a person was injured. A modular home was ripped apart about 4.0 miles west-northwest of Evening Shade. The occupants went to a nearby metal storage container for shelter, and it was rolled. There were four injuries reported here, including one serious injury.",2,120,NWS Storm Survey,AR,,,621013,"1012890, 1012891",Tornado,Supercell
"76",2022/03/07 02:17:00,2022/03/07 02:20:00,150,2.37,0,0,200000,"Several small outbuildings were destroyed, there were softwood,
shallow rooted trees uprooted, and there were chicken coops that
were either completely or partially destroyed. Tornado track
determined by geotagged photos.",1,100,NWS Storm Survey,AR,,,621014,"1012837",Tornado,Supercell
"77",2022/03/07 07:21:00,2022/03/07 07:32:00,250,8.64,0,0,75000,"This tornado began in western Lincoln county, just south of Glendale, and tracked east-northeast for about 9 miles before dissipating over U.S. Hwy 425, just south of Yorktown. The tornado initially damaged some poultry houses near the start of the path, with the rest of the damage limited to trees.",1,95,NWS Storm Survey,AR,,,621015,"1012892",Tornado,Supercell
"78",2022/03/07 08:02:00,2022/03/07 08:12:00,550,6.98,0,0,0,"This tornado started in southwest Arkansas county , or just west of Lumsdens Reservoir, and tracked northeast for 7 miles, moving along Jacobs Lake, and dissipating just before U.S. Hwy 165, in between Dewitt and Gillett. The primary damage was to trees along this path. Limited access to portions of the track was noted due to nearby lake and property access.",1,100,NWS Storm Survey,AR,,,621016,"1012897",Tornado,Supercell
"79",2022/03/07 09:09:00,2022/03/07 09:11:00,100,1.28,0,0,100000,"The first tornadic damage was observed along U.S. Route 421 near Jan-Cen-Del Community Schools and extended northeast and then east before dissipating just north of State Road 350, just west of Finks Road. There were several areas that sustained straight line wind damage of similar wind magnitude outside of this path.
The first notable damage was broken tree branches and chimney damage along U.S. Highway 421 just west of the school. The tornado caused roof damage at the school and damaged other light objects around the school. A light pole in the athletic fields north of the school was also knocked down. Blowing debris also caused damage to some buses parked at the school.
Further east, the tornado traveled just north of State Route 350, where additional trees were either uprooted or snapped. Snapped trees resulted in substantial damage to an outbuilding in the 700 block of West State Route 350.
While additional damage of similar strength was observed along West Fairground Road and other locations to the north and east of Osgood, this damage was attributed to wind damage from the line of strong storms that swept through the area at the same time as the tornado.",0,75,NWS Storm Survey,IN,,,621017,"1001744",Tornado,QLCS
"80",2022/03/09 06:42:00,2022/03/09 06:45:00,50,1.77,0,0,,"The tornado touched down on Lakefront Ct where it produced very minor tree damage, after which the tornado tracked off to the northeast. The most significant structural damage occurred at a residence near the intersection of Lakefront Dr and Dogwood Circle. Roof damage and damage to multiple hardwood/softwood trees was noted. The tornado then continued off to the northeast where it weakened slightly as it crossed Scenic View Dr. It then continued northeast and increased in strength as it approached Busby Rd where multiple softwood trees were found snapped. The tornado lifted somewhere to the northeast of Busby Rd before crossing Schmidt Ln and/or Johnson Rd where no damage was found.
The team surveyed reports of damage on Repoll Rd, but only sporadic minor wind damage was noted.",1,100,NWS Storm Survey,AL,,,621018,"1010954",Tornado,Supercell
"81",2022/03/09 08:11:00,2022/03/09 08:12:00,150,0.19,0,0,,"A 2.5 mile long swath of straight line wind south of Belleville preceded the brief Belleville tornado. The straight line wind damage began to the west of CR 15, south of Belleville, and continued to the northeast toward Highway 84. The straight line wind damage may have started prior to CR 15, but the survey team could not access areas further to the southwest. Several trees were snapped and uprooted along the initial swath of straight line wind damage. A brief tornado occurred just east of Belleville along CR 56. Numerous pine trees were snapped along with several hardwoods snapped and uprooted just south of CR 56. Three homes in the area sustained minor roof damage with roof loss for several sheds and storage buildings. Metal roof pieces were noted in nearby trees and scattered along the path. A small flag pole was bent to the ground and a nearby power line was down. The tornado quickly moved northeast across Highway 84 where several more trees were snapped. The tornado likely lifted somewhere just to the north of Highway 84, to the east of Belleville. A path of straight line wind was noted for at least another 1.5 miles to the northeast of the tornado track where several more trees were snapped and a couple of trees were uprooted.",1,90,NWS Storm Survey,AL,,,621019,"1010955",Tornado,Supercell
"82",2022/03/09 10:50:00,2022/03/09 11:07:00,280,9.14,0,0,,"National Weather Service meteorologists surveyed damage in Barbour County and determined that it was consistent with an EF1 tornado, with maximum winds near 90 mph. The tornado touched down in an open field just west of County Road 43 where several softwood trees were uprooted. The tornado tracked northeast crossing County Road 53 where additional tree damage was noted including several trees on homes where minor damage was observed. It then crossed Highway 30 where a large construction business sustained damage to outdoor buildings in addition to uprooted trees. The tornado continued northeast and dissipated once it crossed County Road 79.",1,90,NWS Storm Survey,AL,,,621020,"1018305",Tornado,Supercell
"83",2022/03/09 11:06:00,2022/03/09 11:10:00,200,1.4,0,0,75000,"A tornado touched down north of Chipley, FL on Cope Road just south of the intersection with Williams Road. The tornado then traveled east along Williams Road for just under 1.5 miles before lifting before reaching SR 77. Damage along the path was limited mainly to out buildings and mobile homes, several of which had substantial roof damage. A few large branches of hardwood trees were snapped. Isolated softwood tree trunks were snapped, but surrounding trees not affected. The damage was consistent with an EF0 tornado with maximum winds of 80 mph.",0,80,NWS Storm Survey,FL,,,621021,"1011230",Tornado,Supercell
"84",2022/03/09 11:12:00,2022/03/09 11:13:00,100,0.19,0,0,100000,"The same parent supercell that produced the Williams Road tornado dropped another tornado about two miles downstream. This tornado had a very short track, but was stronger than the one upstream. Several large barns and outbuildings sustained considerable roof damage with smaller buildings tossed many yards from their original location. A couple of large oak trees were also uprooted. The damage was consistent with an EF1 tornado with maximum winds around 90 mph.",1,90,NWS Storm Survey,FL,,,621022,"1011231",Tornado,Supercell
"85",2022/03/09 11:48:00,2022/03/09 11:51:00,75,1.14,0,0,,A brief tornado touched down in rural Stewart County in a remote wooded area just southwest of Canyon Road where a TDS signature was observed on radar. Initial observed damage consisted of snapped tree branches and a couple of downed trees in the vicinity of Canyon Road. The tornado then impacted a hunting camp just north of Canyon Road. Metal roofing material was torn off of an overhang at this location and a couple of tree tops were twisted and tree branches were broken. The tornado then appeared to lift in a wooded area just northeast with inaccessible wooded areas beyond this point.,0,75,NWS Storm Survey,GA,,,621023,"1016911",Tornado,Supercell
"86",2022/03/09 11:55:00,2022/03/09 11:57:00,25,0.15,0,0,0,A tornado briefly touched down in a field according to video posted on social media. No damage was reported.,,,Social Media,FL,,,621024,"1011229",Tornado,Supercell
"87",2022/03/09 12:00:00,2022/03/09 12:01:00,50,0.0696,0,0,,"A tornado briefly touched down in the Bay Point area of Panama City Beach and moved across a gravel parking lot along Jan Cooley Drive. A boat on a parked trailer was tipped over. A parked tram was tossed up to 100 yards in a gravel lot; the back part of the tram was destroyed. Debris was thrown across the nearby golf course.",0,,,FL,,,,,Tornado,QLCS
"88",2022/03/09 12:15:00,2022/03/09 12:17:00,25,0.41,0,0,100000,"Another short-track tornado touched down in Callaway, FL just east of North Star Avenue at the location of the Callaway Sheriff's office and Fire Dept. The tornado blew out two windows at the sheriff's office and tumbled a large container several times before it eventually stopped across a small lagoon. A deputy reported his patrol car being shifted by the winds while he was in the car and parked at the SO. The tornado then lifted a substantial portion of a well-built garage or outbuilding tossing some into the yard and others into the adjoining apartment complex in the opposite direction. The apartment complex sustained relatively minor damage. One shed was slightly shifted, a lone tree snapped, and one hand railing for an exterior staircase. The most substantial damage occurred at a mobile home park east of the apartment complex and immediately east of Nelle St. Several single and double-wide manufactured homes were shifted off their cinder block foundation by a couple of feet. Many suffered substantial roof damage as well. One utility pole was snapped near its base. The tornado lifted after exiting the mobile home park before reaching Sukoshi Drive.",1,95,NWS Storm Survey,FL,,,621025,"1011234",Tornado,QLCS
"89",2022/03/11 21:24:00,2022/03/11 21:25:00,40,0.12,0,0,1000,"A brief, short-lived EF-0 tornado, with peak winds estimated at 60 to 65 mph, touched down in the Rio neighborhood at approximately 1624LST. Based on numerous video and eyewitness reports from trained spotters, the public, and local broadcast media, the tornado was nearly stationary as it produced minor damage along NE Railroad Street and NE Haven Lane. The tornado lifted at approximately 1625LST. Damage consisted of downed branches, downed fences, and backyard items tossed around.",0,65,Broadcast Media,FL,,,621026,"1002340",Tornado,Supercell
"90",2022/03/12 12:45:00,2022/03/12 13:20:00,65,26.65,0,0,,"A line of strong to severe thunderstorms moved east across Marion county early Saturday morning, March 12th. A tornado touched down in Dunnellon where a large billboard was knocked over and siding was peeled off of a small professional building. Trees were damaged, snapped and uprooted. The next concentration of damage was reported on the south and east sides of Ocala where many trees were blown down and/or uprooted. Powerlines were blown down and numerous residences and an apartment building had damage. Damage in Ocala concentrated near SW 44th Court where some structural damage occurred and tree and powerline damage occurred. Another damaged local was near SW 41st Street near the Paddock Park Apartments where extensive roof damage occurred due to a large tree falling on the building. The county had to open an emergency shelter to house about 6 people displaced from the tornado. The peak winds of the tornado were estimated near 110 mph.",1,110,NWS Storm Survey,FL,,,621027,"1007352",Tornado,Supercell
"91",2022/03/12 13:06:00,2022/03/12 13:12:00,100,5.8,0,0,50000,"A line of strong to severe thunderstorms produced a tornado as the line moved onshore near Weeki Wachee. Observers reported a waterspout moving onshore shortly after 8AM, with some minor damage observed and reported in the vicinity. The tornado then trekked inland through a protected forest, knocking down trees along a river. Eventually, the tornado emerged in a neighborhood and continued to knock down trees before dissipating just before US19 and SR50.",1,90,Emergency Manager,FL,,,621028,"1006837",Tornado,QLCS
"92",2022/03/12 14:03:00,2022/03/12 14:20:00,70,5.29,0,0,,"A line of strong to severe storms moved west to east across Putnam County during the morning of Saturday, March 12th, ahead of a strong cold front. A supercell moving across southern Putnam county and produced an EF1 tornado with peak winds near 93 mph from about 4 miles W of Bakerstown to 3 miles NNE of Bakerstown. Damage along the path included downed and snapped trees, mostly in rural areas. The damage path began near South Georgetown Point Road, crossed U.S. Highway 17 and ended at Crescent Lake north of Clifton Road near Eagle Trail and Osprey Lane. One outbuilding has some structure damage between Duck Drive and Eagle Trail, just north of Clifton Road.",1,95,NWS Storm Survey,FL,,,621029,"1007340",Tornado,Supercell
"93",2022/03/12 16:45:00,2022/03/12 16:47:00,50,0.65,0,0,,Severel power poles snapped just northwest of Arbuckel Creek RD and Highway 98 due to a brief tornado.,1,100,Emergency Manager,FL,,,621030,"1007552",Tornado,QLCS
"94",2022/03/12 17:09:00,2022/03/12 17:10:00,50,0.03,0,0,1000,Waterspout briefly moved onshore to become tornado and did minor damage an Lani Kai.,0,,Broadcast Media,FL,,,621031,"1007548, 1007550",Tornado,QLCS
"95",2022/03/14 23:10:00,2022/03/14 23:17:00,150,3.28,0,0,100000,"The tornado began just west of CR 5035 and south of State Highway 78 where tree damage and damage to a metal barn was observed. The tornado moved northeast where it caused heavy damage to several properties, primarily metal barns, right along State Highway 78. As it continued east-northeast, it crossed FM 981 where a single family home was damaged, including broken windows and loss of roof shingles and decking, along with a windshield shattered on a vehicle. It continued northeast from there, causing sporadic tree damage as it headed towards a business located on CR 4965. At this business, a triple wide manufactured building was shifted off of its cement block base, and the metal siding and roof was pulled off of a building located next to it. The tornado continued northeast, damaging trees, and is believed to have lifted before crossing US 69. The maximum wind rating for this tornado was 95 mph.",1,95,NWS Storm Survey,TX,,,621032,"1012306",Tornado,Supercell
"96",2022/03/15 04:50:00,2022/03/15 04:51:00,30,0.14,0,0,15000,"A very brief EF-0 tornado occurred along West Half Moon Road in Santa Fe, just to the northwest of Santa Fe High School. A large oak tree was snapped, causing roof damage and destroying a well pump. The garage door in a single family home was blown out. A utility building had its metal siding destroyed. Several large pieces of heavy equipment sitting outdoors were picked up and moved by the tornado.",0,85,NWS Storm Survey,TX,,,621033,"1002652",Tornado,Supercell
"97",2022/03/16 18:22:00,2022/03/16 18:27:00,100,1.5,0,1,1000000,Video of tornadno from Sarasota PD. Damage to roof at industrial building on 2100 block of 10th street causing 1 million dollars in damage to building and contents.,1,90,Law Enforcement,FL,,,621034,"1007561",Tornado,Supercell
"98",2022/03/18 17:28:00,2022/03/18 17:32:00,50,1.5,0,0,361000,"A tornado touched down just west of the intersection of Log Lake Road and Sundance Way. The tornado damaged the roof of a house where numerous shingles were removed down to the tar paper. In addition, a manufactured home adjacent to the house was destroyed. Numerous trees were snapped and several trees were uprooted. The tornado proceeded east across Log Lake Road and damaged the roof of a manufactured home as well as snapped and twisted additional trees. A couple trees were also uprooted. The tornado continued along and crossed Sundance Way Cutoff Road where several more trees were snapped and uprooted. From there, the tornado progressed northeast and hit a home, ripping off a portion of the roof to include the decking underneath. This was thrown roughly 50 yards away into the front yard and into trees. Several large trees were also snapped near the base and twisted. A few more were uprooted as well. The tornado then lifted just beyond this property. Overall, the maximum width of the tornado reached 50 yards with a path length of about 1.5 miles. Estimated peak winds were 95 mph.",1,95,NWS Storm Survey,FL,,,621035,"1012485",Tornado,QLCS
"99",2022/03/18 20:38:00,2022/03/18 20:40:00,25,0.81,0,0,0,"A tornado touched down briefly in a rural area along G Montgomery Road in Walton county and tracked eastward through a wooded area and across County Highway 183 S. There were numerous snapped trees along its path, but no structures were impacted. This tornado was rated EF1 with maximum estimated winds around 90 mph. A dual-pol tornadic debris signature (TDS) was evident on KEVX radar.",1,90,Emergency Manager,FL,,,621036,"1011259",Tornado,QLCS
"100",2022/03/18 20:39:00,2022/03/18 20:41:00,50,0.71,0,0,,Multiple videos showed a narrow funnel cloud with some minor debris. The video was taken looking north from Portageville and west from Marston. There was damage to a carport and some power lines. The video and the damage report were relayed by local broadcast media. There was no apparent damage path on the ground. The short path track was based on videos combined with radar data.,0,,Public,MO,,,621037,"1007984",Tornado,Supercell
"101",2022/03/18 23:16:00,2022/03/18 23:20:00,75,1.64,0,0,500000,"A tornado was captured on video moving onshore in the St Andrew's area across W 15th Street. The tornado moved northeastward through numerous residential streets before lifting near Frankford Ave. Numerous structures were damaged along with trees and power lines. The most significant damage occurred from near W 18th Street northeastward to Clay Ave. Some residences had large sections of their roofs removed with most walls remaining standing. In addition, a house on Arthur Ave was moved four feet off its foundation. As a result, this tornado was rated EF2 with maximum estimated winds around 120 mph. A dual-pol tornadic debris signature (TDS) was evident on KEVX radar.",2,120,NWS Storm Survey,FL,,,621038,"1011277",Tornado,Supercell
"102",2022/03/19 00:06:00,2022/03/19 00:14:00,200,5.5,0,0,,"The tornado was observed touching down by two eyewitnesses near West Wilson Lane and Dog Trot Road at 8:06 PM EDT. Multiple hardwood trees were uprooted and a house suffered significant roof damage on West Wilson Lane. A barn suffered significant roof damage and two other outbuildings had minor damage. On the same property, a carport was lifted and thrown several hundred feet downstream. Debris from this property was also found on a farm approximately half a mile to the east.
The most intense damage occurred near the intersection of Mill Creek Road and Fort Hill Road. A well-constructed brick home had only minor damage to siding, shingles, and porch columns, but multiple trees were uprooted both northwest and northeast of the house. Just down the hill to the northeast, dozens of trees were uprooted or snapped, all laying nearly due north at an angle to the tornado`s northeastward motion. Maximum wind speeds at this point were estimated at 105 mph (EF-1), and the maximum path width at 200 yards.
The tornado continued northeast across open fields and then uprooted or snapped several trees, and caused minor shingle damage to two homes along Woodland Drive in the Naugle Addition subdivision. Two large hardwood trees were uprooted and other large branches were downed as the tornado continued northeast across Orchard Road.
As the tornado moved into the city of Salem a large tree was uprooted and another tree lost a large branch at Crown Hill Cemetery. The tornado continued into the Public Square, where it caused roof and exterior damage to two businesses located to the northwest of the Court House. The tornado lifted at 8:14 PM EDT just to the north of the square.
No fatalities or injuries were reported as a result of the tornado. All the residents our survey team spoke with had received the Tornado Warnings via some combination of Wireless Emergency Alerts, local TV broadcasts, or NOAA Weather Radio, and quickly sought shelter. Most of them took shelter in basements. Of those without a basement, one family took shelter in an interior bathroom, while another resident sought shelter with a neighbor whose house has a basement.",1,105,NWS Storm Survey,IN,,,621039,"1015567",Tornado,Supercell
"103",2022/03/19 02:20:00,2022/03/19 02:24:00,80,2.6,0,0,,NWS Storm Survey Team found EF-0 tornado damage in eastern Breckinridge County. The tornado touched down just north of Rosetta and continued northeastward toward Bewleyville. The most notable damage was done along Bewleyville-Rosetta Road where a small outbuilding was destroyed and strewn across a field. Tree damage was also observed with soft and hard wood trees being snapped. The tornado then lifted near Nelson Board Road.,0,80,NWS Storm Survey,KY,,,621040,"1015620",Tornado,QLCS
"104",2022/03/19 02:38:00,2022/03/19 02:48:00,100,4.09,0,0,,"A tornado touched down near the intersection of Spears Lane and St John Road. Damage was observed to a barn roof, which was completely lifted away. Debris was thrown mostly to the northeast, but in several varying direction including impaled wood planks in the nearby field. The tornado then crossed St John Road and struck a single residence with major roof loss and demolishing an outbuilding garage. The tornado continued to French Lane and Fuller Road where tree damage was observed, including debris of construction materials thrown into a nearby field. Damage continued across St John Church Road towards Kraft Road where isolated tree damage was observed. Some barn panel loss was observed along Thomas Road and tree damage continued toward Leasor Lane, as well as a single family residence having some minor roof panel damage.",1,100,NWS Storm Survey,KY,,,621041,"1015621",Tornado,QLCS
"105",2022/03/19 02:52:00,2022/03/19 02:55:00,80,1.76,0,0,,"The National Weather Service in Louisville conducted a storm damage survey around West Point, Kentucky from a supercell storm last Friday night. The survey team found a somewhat elevated and skipping EF0 tornado in and near West Point. The tornado began in a farmer`s field on the south side of town, with some trees twisted and snapped in the tallest portions of the trees. The tornado uprooted and snapped a few trees in town as it moved to the northeast. Next it lifted a 20 by 12 shed roof onto a truck 15 yards away, in a northwesterly direction. A metal piece of the roof went 35 yards upwind and was impaled on a stop sign. About a dozen homes had roof and siding damage. One homeowner showed a security camera video with a distinct cyclonic swirl, which was clearly seen around 1055 pm.
The skipping tornado crossed US Highway 31W with a few trees snapped or twisted and lifted near the Ohio Valley Dragway.
This is the same cell that produced a EF0 tornado in Breckinridge County. The EF0 tornado damage began in far northwestern Hardin County, and the survey team looked for damage in Bullitt County and Jefferson County. However, nothing more than a few downed trees could be located.",0,80,NWS Storm Survey,KY,,,621042,"1015622",Tornado,QLCS
"106",2022/03/19 03:09:00,2022/03/19 03:10:00,100,0.33,0,0,,"This tornado was associated with the same parent thunderstorm as the Rineyville, KY tornado in Hardin County. This tornado redeveloped along Wilson Creek Road where several hard and soft wood trees were observed to be down in several directions, which included both snapped and uprooted trees. A carport roof was also partially blown away. The tornado then crossed Wilson Creek Road (Route 733) and affected several nearby residences with more tree damage to both hard and soft wood trees. No visible damage was observed toward the next hill side beyond the nearby farm property line.",1,105,NWS Storm Survey,KY,,,621043,"1015623",Tornado,QLCS
"107",2022/03/21 20:12:00,2022/03/21 20:26:00,400,9.73,0,0,75000,"Using radar imagery in combination with eyewitness accounts (videos and pictures), a confirmed EF1 tornado formed over Possum Kingdom Lake around 3:12 PM CDT. The tornado then tracked onshore near Upper Burma Rd, where trees sustained such damage as snapped trunks and large broken branches. As it crossed the peninsula, roof damage to single family homes and nearby small metal buildings was observed, consistent with 95 mph winds. The tornado then tracked back over the lake before causing more sporadic damage on the northeast shore of Possum Kingdom Lake. The tornado lifted at 3:26 PM CDT just northwest of Stoney End Ln. The maximum estimated winds were 95 mph.",1,95,NWS Storm Survey,TX,,,621044,"1013685",Tornado,Supercell
